side,trade_id,regime,entry_signal,entry_time,exit_time,time_in_trade_min,strike,expiry,entry_spot,entry_direction_score,entry_bias,exit_reason,trade_pnl,exit_spot,exit_direction_score,exit_bias,peak_pnl,drawdown_from_peak,cooldown_applied_min,diagnostic_context
BUY,20260330_125907,SELL_PE,SELL_PE,2026-03-30 12:59:07,2026-03-30 13:03:05,4,22500,2026-03-30,22501.7,0.5875,39.1,REGIME_CHANGE SELL_PE->SELL_CE,-377.5,22488.0,0.8293,-58.3,40.0,417.5,10,entry_d=0.588;exit_d=0.829;entry_bias=39.10;exit_bias=-58.30
BUY,20260330_132505,SELL_CE,SELL_CE,2026-03-30 13:25:05,2026-03-30 13:29:05,4,22500,2026-03-30,22485.9,0.4753,-22.6,TRAIL_PROFIT 450.00,325.0,22477.95,0.2925,-12.9,775.0,450.0,5,entry_d=0.475;exit_d=0.293;entry_bias=-22.60;exit_bias=-12.90
BUY,20260330_142305,SELL_CE,SELL_CE,2026-03-30 14:23:05,2026-03-30 14:32:05,9,22400,2026-03-30,22396.3,0.4017,-32.7,BREAKEVEN_LOCK -302.50,-302.5,22398.8,0.8354,-59.9,282.5,585.0,10,entry_d=0.402;exit_d=0.835;entry_bias=-32.70;exit_bias=-59.90
BUY,20260330_145605,SELL_CE,SELL_CE,2026-03-30 14:56:05,2026-03-30 14:59:05,3,22350,2026-03-30,22354.2,0.4411,-39.1,TREND_WEAK d=0.12,12.5,22351.1,0.1238,-10.3,157.5,145.0,5,entry_d=0.441;exit_d=0.124;entry_bias=-39.10;exit_bias=-10.30
BUY,20260401_094512,SELL_CE,SELL_CE,2026-04-01 09:45:12,2026-04-01 09:49:05,4,22850,2026-04-28,22854.25,0.5274,-43.35,HARD_STOP -665.00,-665.0,22881.4,0.2295,-18.6,0,665.0,10,entry_d=0.527;exit_d=0.229;entry_bias=-43.35;exit_bias=-18.60
BUY,20260401_101506,SELL_CE,SELL_CE,2026-04-01 10:15:06,2026-04-01 10:21:05,6,22850,2026-04-28,22869.95,0.5445,-33.05,TREND_WEAK d=0.16,-165.0,22878.15,0.1557,-8.65,117.5,282.5,10,entry_d=0.544;exit_d=0.156;entry_bias=-33.05;exit_bias=-8.65
BUY,20260401_105806,SELL_CE,SELL_CE,2026-04-01 10:58:06,2026-04-01 11:07:07,9,22800,2026-04-28,22775.2,0.4361,-24.9,TRAIL_PROFIT 480.00,387.5,22757.55,0.6563,-36.75,867.5,480.0,5,entry_d=0.436;exit_d=0.656;entry_bias=-24.90;exit_bias=-36.75
BUY,20260401_112606,SELL_PE,SELL_PE,2026-04-01 11:26:05,2026-04-01 11:33:05,7,22800,2026-04-28,22783.65,0.5994,28.05,TRAIL_PROFIT 277.50,452.5,22794.55,0.1971,9.6,730.0,277.5,5,entry_d=0.599;exit_d=0.197;entry_bias=28.05;exit_bias=9.60
BUY,20260401_115007,SELL_CE,SELL_CE,2026-04-01 11:50:07,2026-04-01 11:58:05,8,22750,2026-04-28,22751.8,0.4984,-30.7,BREAKEVEN_LOCK -212.50,-212.5,22769.25,0.3757,-26.6,407.5,620.0,10,entry_d=0.498;exit_d=0.376;entry_bias=-30.70;exit_bias=-26.60
BUY,20260401_123705,SELL_CE,SELL_CE,2026-04-01 12:37:05,2026-04-01 12:40:06,3,22800,2026-04-28,22824.2,0.4268,-30.6,TREND_WEAK d=0.05,-550.0,22846.7,0.0482,-3.4,0,550.0,10,entry_d=0.427;exit_d=0.048;entry_bias=-30.60;exit_bias=-3.40
