trade_id,entry_time,exit_time,time_in_trade_min,trade_type,strike,expiry,trade_pnl
20260330_125907,2026-03-30 12:59:07,2026-03-30 13:03:05,4,SELL_PE,22500,2026-03-30,-337.5
20260330_125907,2026-03-30 12:59:07,2026-03-30 13:03:05,4,SELL_PE,22500,2026-03-30,-377.5
20260330_132505,2026-03-30 13:25:05,2026-03-30 13:29:05,4,SELL_CE,22500,2026-03-30,350.0
20260330_132505,2026-03-30 13:25:05,2026-03-30 13:29:05,4,SELL_CE,22500,2026-03-30,325.0
20260330_142305,2026-03-30 14:23:05,2026-03-30 14:32:05,9,SELL_CE,22400,2026-03-30,-120.0
20260330_142305,2026-03-30 14:23:05,2026-03-30 14:32:05,9,SELL_CE,22400,2026-03-30,-302.5
20260330_145605,2026-03-30 14:56:05,2026-03-30 14:59:05,3,SELL_CE,22350,2026-03-30,202.5
20260330_145605,2026-03-30 14:56:05,2026-03-30 14:59:05,3,SELL_CE,22350,2026-03-30,12.5
20260401_094512,2026-04-01 09:45:12,2026-04-01 09:49:05,4,SELL_CE,22850,2026-04-28,-317.5
20260401_094512,2026-04-01 09:45:12,2026-04-01 09:49:05,4,SELL_CE,22850,2026-04-28,-665.0
20260401_101506,2026-04-01 10:15:06,2026-04-01 10:21:05,6,SELL_CE,22850,2026-04-28,-380.0
20260401_101506,2026-04-01 10:15:06,2026-04-01 10:21:05,6,SELL_CE,22850,2026-04-28,-165.0
20260401_105806,2026-04-01 10:58:06,2026-04-01 11:07:07,9,SELL_CE,22800,2026-04-28,512.5
20260401_105806,2026-04-01 10:58:06,2026-04-01 11:07:07,9,SELL_CE,22800,2026-04-28,387.5
20260401_112605,2026-04-01 11:26:05,2026-04-01 11:30:06,4,SELL_PE,22800,2026-04-28,17.5
20260401_112606,2026-04-01 11:26:05,2026-04-01 11:33:05,7,SELL_PE,22800,2026-04-28,452.5
20260401_113805,2026-04-01 11:38:05,2026-04-01 11:43:05,5,SELL_PE,22800,2026-04-28,162.5
20260401_115007,2026-04-01 11:50:07,2026-04-01 11:59:07,9,SELL_CE,22750,2026-04-28,-677.5
20260401_115007,2026-04-01 11:50:07,2026-04-01 11:58:05,8,SELL_CE,22750,2026-04-28,-212.5
20260401_123705,2026-04-01 12:37:05,2026-04-01 12:40:06,3,SELL_CE,22800,2026-04-28,-432.5
20260401_123705,2026-04-01 12:37:05,2026-04-01 12:40:06,3,SELL_CE,22800,2026-04-28,-550.0
20260401_131305,2026-04-01 13:13:05,2026-04-01 13:16:05,3,SELL_CE,22850,2026-04-28,-750.0
20260401_131305,2026-04-01 13:13:05,2026-04-01 13:15:05,2,SELL_CE,22850,2026-04-28,-652.5
20260401_140705,2026-04-01 14:07:05,2026-04-01 14:11:05,4,SELL_PE,22700,2026-04-28,227.5
20260401_140705,2026-04-01 14:07:05,2026-04-01 14:17:05,10,SELL_PE,22700,2026-04-28,-120.0
20260401_151105,2026-04-01 15:11:05,2026-04-01 15:17:05,6,SELL_PE,22700,2026-04-28,-57.5
20260401_151105,2026-04-01 15:11:05,2026-04-01 15:17:05,6,SELL_PE,22700,2026-04-28,-110.0
20260402_100016,2026-04-02 10:00:16,2026-04-02 10:14:05,14,SELL_CE,22200,2026-04-28,17.5
20260402_100016,2026-04-02 10:00:16,2026-04-02 10:02:05,2,SELL_CE,22200,2026-04-28,-775.0
20260402_103405,2026-04-02 10:34:05,2026-04-02 10:38:05,4,SELL_PE,22200,2026-04-28,157.5
20260402_103405,2026-04-02 10:34:05,2026-04-02 10:38:05,4,SELL_PE,22200,2026-04-28,170.0
20260402_105805,2026-04-02 10:58:05,2026-04-02 11:02:05,4,SELL_PE,22250,2026-04-28,130.0
20260402_105805,2026-04-02 10:58:05,2026-04-02 11:02:05,4,SELL_PE,22250,2026-04-28,-35.0
20260402_114906,2026-04-02 11:49:06,2026-04-02 12:00:18,11,SELL_PE,22250,2026-04-28,1127.5
20260402_114906,2026-04-02 11:49:06,2026-04-02 12:00:18,11,SELL_PE,22250,2026-04-28,1112.5
20260402_122305,2026-04-02 12:23:05,2026-04-02 12:27:05,4,SELL_CE,22250,2026-04-28,-807.5
20260402_122305,2026-04-02 12:23:05,2026-04-02 12:27:05,4,SELL_CE,22250,2026-04-28,-335.0
20260402_131905,2026-04-02 13:19:05,2026-04-02 13:32:05,13,SELL_PE,22400,2026-04-28,1760.0
20260402_131905,2026-04-02 13:19:05,2026-04-02 13:26:05,7,SELL_PE,22400,2026-04-28,1202.5
20260402_140105,2026-04-02 14:01:05,2026-04-02 14:04:05,3,SELL_PE,22550,2026-04-28,-232.5
20260402_140105,2026-04-02 14:01:05,2026-04-02 14:07:05,6,SELL_PE,22550,2026-04-28,215.0
20260402_144506,2026-04-02 14:45:06,2026-04-02 14:47:06,2,SELL_CE,22600,2026-04-28,-1327.5
20260402_144506,2026-04-02 14:45:06,2026-04-02 14:47:06,2,SELL_CE,22600,2026-04-28,-1030.0
20260402_150305,2026-04-02 15:03:05,2026-04-02 15:18:05,15,SELL_PE,22650,2026-04-28,2195.0
20260402_150305,2026-04-02 15:03:05,2026-04-02 15:14:05,11,SELL_PE,22650,2026-04-28,1060.0
20260406_094511,2026-04-06 09:45:11,2026-04-06 09:52:05,7,SELL_CE,22600,2026-04-28,755.0
20260406_094511,2026-04-06 09:45:11,2026-04-06 09:52:05,7,SELL_CE,22600,2026-04-28,1020.0
20260406_101506,2026-04-06 10:15:06,2026-04-06 10:19:05,4,SELL_PE,22650,2026-04-28,-790.0
20260406_101506,2026-04-06 10:15:06,2026-04-06 10:19:05,4,SELL_PE,22650,2026-04-28,-880.0
