2026-03-02 16:05:35 | paper_trade | PaperTradeEngine initialized
2026-03-02 16:05:35 | evaluator | NIFTY Evaluator Started
2026-03-02 16:05:35 | evaluator | Schedule: Mon–Fri | 09:15–15:30 IST | Every minute +2 sec
2026-03-02 16:05:35 | evaluator | ------------------------------------------------------------
2026-03-03 09:15:05 | evaluator | 
2026-03-03 09:15:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:15:05 | evaluator | CYCLE START
2026-03-03 09:15:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:15:05 | evaluator | STEP 1: updater start
2026-03-03 09:15:05 | spot_updater | API status 400
2026-03-03 09:15:05 | spot_updater | Candle not yet available: 2026-03-03 09:14:00
2026-03-03 09:15:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:15:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:15:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:15:05 | evaluator | STEP 3: mtm start
2026-03-03 09:15:05 | evaluator | STEP 3: mtm end
2026-03-03 09:15:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:15:05 | evaluator | CYCLE END
2026-03-03 09:15:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:15:05 | evaluator | 
2026-03-03 09:16:05 | evaluator | 
2026-03-03 09:16:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:16:05 | evaluator | CYCLE START
2026-03-03 09:16:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:16:05 | evaluator | STEP 1: updater start
2026-03-03 09:16:05 | spot_updater | API status 400
2026-03-03 09:16:05 | spot_updater | Candle not yet available: 2026-03-03 09:15:00
2026-03-03 09:16:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:16:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:16:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:16:05 | evaluator | STEP 3: mtm start
2026-03-03 09:16:05 | evaluator | STEP 3: mtm end
2026-03-03 09:16:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:16:05 | evaluator | CYCLE END
2026-03-03 09:16:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:16:05 | evaluator | 
2026-03-03 09:17:05 | evaluator | 
2026-03-03 09:17:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:17:05 | evaluator | CYCLE START
2026-03-03 09:17:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:17:05 | evaluator | STEP 1: updater start
2026-03-03 09:17:05 | spot_updater | API status 400
2026-03-03 09:17:05 | spot_updater | Candle not yet available: 2026-03-03 09:16:00
2026-03-03 09:17:05 | evaluator | STEP 1: updater end | ok=True
2026-03-03 09:17:05 | evaluator | STEP 2: paper_trade start
2026-03-03 09:17:05 | evaluator | STEP 2: paper_trade end
2026-03-03 09:17:05 | evaluator | STEP 3: mtm start
2026-03-03 09:17:05 | evaluator | STEP 3: mtm end
2026-03-03 09:17:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:17:05 | evaluator | CYCLE END
2026-03-03 09:17:05 | evaluator | ------------------------------------------------------------
2026-03-03 09:17:05 | evaluator | 
