trade_id,entry_time,exit_time,time_in_trade_min,trade_type,strike,expiry,trade_pnl
20260305_093506,2026-03-05 09:35:06,2026-03-05 09:39:05,3.98,SELL_STRADDLE,24550,2026-03-10,40.0
20260305_101405,2026-03-05 10:14:05,2026-03-05 10:40:05,26.0,SELL_CE,24600,2026-03-10,-30.0
20260305_110205,2026-03-05 11:02:05,2026-03-05 11:25:05,23.0,SELL_STRADDLE,24650,2026-03-10,430.0
20260305_120705,2026-03-05 12:07:05,2026-03-05 12:45:05,38.0,SELL_PE,24600,2026-03-10,1600.0
20260305_130305,2026-03-05 13:03:05,2026-03-05 13:13:05,10.0,SELL_PE,24650,2026-03-10,-195.0
20260305_133305,2026-03-05 13:33:05,2026-03-05 13:44:05,11.0,SELL_PE,24650,2026-03-10,-1055.0
20260305_142706,2026-03-05 14:27:06,2026-03-05 15:07:05,39.98,SELL_PE,24600,2026-03-10,3582.5
20260306_093406,2026-03-06 09:34:06,2026-03-06 09:58:05,24,SELL_PE,24650,2026-03-10,-552.5
20260306_101205,2026-03-06 10:12:05,2026-03-06 10:33:05,21,SELL_PE,24650,2026-03-10,-362.5
20260306_110505,2026-03-06 11:05:05,2026-03-06 11:19:05,14,SELL_PE,24650,2026-03-10,-617.5
20260306_114005,2026-03-06 11:40:05,2026-03-06 11:52:05,12,SELL_PE,24650,2026-03-10,-227.5
20260306_120505,2026-03-06 12:05:05,2026-03-06 12:21:05,16,SELL_CE,24600,2026-03-10,-142.5
20260306_123005,2026-03-06 12:30:05,2026-03-06 12:54:05,24,SELL_CE,24600,2026-03-10,-517.5
20260306_131405,2026-03-06 13:14:05,2026-03-06 13:54:05,40,SELL_STRADDLE,24600,2026-03-10,-525.0
20260306_141305,2026-03-06 14:13:05,2026-03-06 14:28:05,15,SELL_PE,24600,2026-03-10,295.0
